ORG_KSSS|year|month|day|time_segment|unique_cheques
1060|2025|11|7|08_20|1284.0
1060|2025|11|7|other|471.0
1060|2025|11|8|08_20|985.0
1060|2025|11|8|other|312.0
1060|2025|11|9|08_20|1029.0
1060|2025|11|9|other|306.0
1060|2025|11|10|08_20|1139.0
1060|2025|11|10|other|445.0
1060|2025|11|11|08_20|1187.0
1060|2025|11|11|other|349.0
1060|2025|11|12|08_20|1114.0
1060|2025|11|12|other|420.0
1060|2025|11|13|08_20|1298.0
1060|2025|11|13|other|485.0
1060|2025|11|14|08_20|1343.0
1060|2025|11|14|other|520.0
1060|2025|11|15|08_20|1200.0
1060|2025|11|15|other|369.0
1060|2025|11|16|08_20|983.0
1060|2025|11|16|other|309.0
1060|2025|11|17|08_20|1191.0
1060|2025|11|17|other|435.0
1060|2025|11|18|08_20|1211.0
1060|2025|11|18|other|400.0
1060|2025|11|19|08_20|1176.0
1060|2025|11|19|other|404.0
1060|2025|11|20|08_20|1195.0
1060|2025|11|20|other|432.0
1060|2025|11|21|08_20|1357.0
1060|2025|11|21|other|508.0
1060|2025|11|22|08_20|1066.0
1060|2025|11|22|other|333.0
1060|2025|11|23|08_20|946.0
1060|2025|11|23|other|300.0
1060|2025|11|24|08_20|1139.0
1060|2025|11|24|other|419.0
1060|2025|11|25|08_20|1137.0
1060|2025|11|25|other|424.0
1060|2025|11|26|08_20|1146.0
1060|2025|11|26|other|439.0
1060|2025|11|27|08_20|1201.0
1060|2025|11|27|other|459.0
1060|2025|11|28|08_20|1356.0
1060|2025|11|28|other|505.0
1060|2025|11|29|08_20|1154.0
1060|2025|11|29|other|369.0
1060|2025|11|30|08_20|1094.0
1060|2025|11|30|other|336.0
1062|2025|11|1|08_20|1033.0
1062|2025|11|1|other|226.0
1062|2025|11|2|08_20|874.0
1062|2025|11|2|other|202.0
1062|2025|11|3|08_20|923.0
1062|2025|11|3|other|208.0
1062|2025|11|4|08_20|903.0
1062|2025|11|4|other|203.0
1062|2025|11|5|08_20|896.0
1062|2025|11|5|other|279.0
1062|2025|11|6|08_20|916.0
1062|2025|11|6|other|227.0
1062|2025|11|7|08_20|883.0
1062|2025|11|7|other|273.0
1062|2025|11|8|08_20|963.0
1062|2025|11|8|other|166.0
1062|2025|11|9|08_20|730.0
1062|2025|11|9|other|165.0
1062|2025|11|10|08_20|912.0
1062|2025|11|10|other|280.0
1062|2025|11|11|08_20|865.0
1062|2025|11|11|other|301.0
1062|2025|11|12|08_20|934.0
1062|2025|11|12|other|272.0
1062|2025|11|13|08_20|988.0
1062|2025|11|13|other|278.0
1062|2025|11|14|08_20|1013.0
1062|2025|11|14|other|285.0
1062|2025|11|15|08_20|996.0
1062|2025|11|15|other|221.0
1062|2025|11|16|08_20|837.0
1062|2025|11|16|other|197.0
1062|2025|11|17|08_20|990.0
1062|2025|11|17|other|287.0
1062|2025|11|18|08_20|1004.0
1062|2025|11|18|other|274.0
1062|2025|11|19|08_20|969.0
1062|2025|11|19|other|274.0
1062|2025|11|20|08_20|990.0
1062|2025|11|20|other|303.0
1062|2025|11|21|08_20|1052.0
1062|2025|11|21|other|286.0
1062|2025|11|22|08_20|850.0
1062|2025|11|22|other|189.0
1062|2025|11|23|08_20|728.0
1062|2025|11|23|other|180.0
1062|2025|11|24|08_20|804.0
1062|2025|11|24|other|244.0
1062|2025|11|25|08_20|882.0
1062|2025|11|25|other|270.0
1062|2025|11|26|08_20|955.0
1062|2025|11|26|other|296.0
1062|2025|11|27|08_20|954.0
1062|2025|11|27|other|267.0
1062|2025|11|28|08_20|996.0
1062|2025|11|28|other|302.0
1062|2025|11|29|08_20|924.0
1062|2025|11|29|other|196.0
1062|2025|11|30|08_20|837.0
1062|2025|11|30|other|186.0
1063|2025|11|1|08_20|458.0
1063|2025|11|1|other|130.0
1063|2025|11|2|08_20|301.0
1063|2025|11|2|other|70.0
1063|2025|11|3|08_20|300.0
1063|2025|11|3|other|85.0
1063|2025|11|4|08_20|342.0
1063|2025|11|4|other|111.0
1063|2025|11|5|08_20|448.0
1063|2025|11|5|other|126.0
1063|2025|11|6|08_20|451.0
1063|2025|11|6|other|124.0
1063|2025|11|7|08_20|378.0
1063|2025|11|7|other|135.0
1063|2025|11|8|08_20|318.0
1063|2025|11|8|other|99.0
1063|2025|11|9|08_20|226.0
1063|2025|11|9|other|82.0
1063|2025|11|10|08_20|462.0
1063|2025|11|10|other|132.0
1063|2025|11|11|08_20|455.0
1063|2025|11|11|other|137.0
1063|2025|11|12|08_20|456.0
1063|2025|11|12|other|150.0
1063|2025|11|13|08_20|440.0
1063|2025|11|13|other|152.0
1063|2025|11|14|08_20|529.0
1063|2025|11|14|other|150.0
1063|2025|11|15|08_20|316.0
1063|2025|11|15|other|90.0
1063|2025|11|16|08_20|234.0
1063|2025|11|16|other|99.0
1063|2025|11|17|08_20|472.0
1063|2025|11|17|other|154.0
1063|2025|11|18|08_20|425.0
1063|2025|11|18|other|135.0
1063|2025|11|19|08_20|444.0
1063|2025|11|19|other|127.0
1063|2025|11|20|08_20|366.0
1063|2025|11|20|other|122.0
1063|2025|11|21|08_20|519.0
1063|2025|11|21|other|158.0
1063|2025|11|22|08_20|282.0
1063|2025|11|22|other|95.0
1063|2025|11|23|08_20|227.0
1063|2025|11|23|other|65.0
1063|2025|11|24|08_20|453.0
1063|2025|11|24|other|137.0
1063|2025|11|25|08_20|434.0
1063|2025|11|25|other|126.0
1063|2025|11|26|08_20|416.0
1063|2025|11|26|other|128.0
1063|2025|11|27|08_20|448.0
1063|2025|11|27|other|128.0
1063|2025|11|28|08_20|517.0
1063|2025|11|28|other|144.0
1063|2025|11|29|08_20|306.0
1063|2025|11|29|other|75.0
1063|2025|11|30|08_20|268.0
1063|2025|11|30|other|75.0
1064|2025|11|1|08_20|741.0
1064|2025|11|1|other|176.0
1064|2025|11|2|08_20|570.0
1064|2025|11|2|other|144.0
1064|2025|11|3|08_20|487.0
1064|2025|11|3|other|120.0
1064|2025|11|4|08_20|520.0
1064|2025|11|4|other|127.0
1064|2025|11|5|08_20|614.0
1064|2025|11|5|other|154.0
1064|2025|11|6|08_20|641.0
1064|2025|11|6|other|166.0
1064|2025|11|7|08_20|606.0
1064|2025|11|7|other|203.0
1064|2025|11|8|08_20|553.0
1064|2025|11|8|other|138.0
1064|2025|11|9|08_20|358.0
1064|2025|11|9|other|84.0
1064|2025|11|10|08_20|609.0
1064|2025|11|10|other|158.0
1064|2025|11|11|08_20|586.0
1064|2025|11|11|other|170.0
1064|2025|11|12|08_20|602.0
1064|2025|11|12|other|171.0
1064|2025|11|13|08_20|662.0
1064|2025|11|13|other|169.0
1064|2025|11|14|08_20|717.0
1064|2025|11|14|other|191.0
1064|2025|11|15|08_20|623.0
1064|2025|11|15|other|162.0
1064|2025|11|16|08_20|434.0
1064|2025|11|16|other|88.0
1064|2025|11|17|08_20|579.0
1064|2025|11|17|other|144.0
1064|2025|11|18|08_20|643.0
1064|2025|11|18|other|178.0
1064|2025|11|19|08_20|585.0
1064|2025|11|19|other|168.0
1064|2025|11|20|08_20|627.0
1064|2025|11|20|other|140.0
1064|2025|11|21|08_20|642.0
1064|2025|11|21|other|188.0
1064|2025|11|22|08_20|578.0
1064|2025|11|22|other|131.0
1064|2025|11|23|08_20|406.0
1064|2025|11|23|other|93.0
1064|2025|11|24|08_20|584.0
1064|2025|11|24|other|170.0
1064|2025|11|25|08_20|586.0
1064|2025|11|25|other|149.0
1064|2025|11|26|08_20|578.0
1064|2025|11|26|other|140.0
1064|2025|11|27|08_20|582.0
1064|2025|11|27|other|152.0
1064|2025|11|28|08_20|663.0
1064|2025|11|28|other|190.0
1064|2025|11|29|08_20|575.0
1064|2025|11|29|other|147.0
1064|2025|11|30|08_20|420.0
1064|2025|11|30|other|104.0
1066|2025|11|1|08_20|886.0
1066|2025|11|1|other|386.0
1066|2025|11|2|08_20|654.0
1066|2025|11|2|other|234.0
