КССС|MAPE, %
133534|9.817
133535|35.948
133536|50.131
133539|18.986
133540|13.741
133541|10.773
133542|23.001
133543|24.318
133544|10.026
133545|11.965
133546|10.139
133547|13.019
133548|17.26
133549|292.229
133550|36.831
133553|15.605
133554|15.295
133556|9.529
133557|13.172
133558|13.192
133561|9.535
133564|10.951
133565|11.251
133567|12.179
133568|10.465
133569|8.012
133570|9.515
133571|11.881
133572|37.903
133573|11.341
133574|11.453
133575|11.516
133577|12.78
133582|16.758
133583|26.864
133584|12.361
133589|7.732
133591|10.618
133592|9.875
133597|7.124
133599|10.642
133600|19.688
133601|9.181
133602|12.313
133603|10.787
133604|14.139
133605|9.751
133606|16.078
133607|13.656
133608|9.951
133609|10.651
133610|11.356
133611|13.837
133612|17.697
133613|11.95
133614|8.079
133615|14.16
133616|8.424
133617|8.73
133618|13.945
133619|9.387
133620|10.192
133621|17.786
133625|14.811
133626|9.248
133627|12.315
133629|9.037
133630|8.787
133631|11.661
133632|11.527
133633|9.452
133634|9.339
133636|11.597
133637|13.763
133638|10.089
133639|27.356
133640|12.685
133641|10.245
133642|11.226
133644|9.467
133645|10.895
133649|20.488
133650|11.376
133652|9.111
133653|9.367
133655|10.492
133656|8.952
133657|9.36
133659|12.322
133660|12.973
133662|134.385
133663|9.919
133664|8.326
133666|9.985
133667|12.064
133668|14.008
133670|8.993
133671|12.588
133672|9.144
133673|8.387
133674|6.742
133675|12.328
133676|17.236
133678|9.499
133679|8.246
133680|11.38
133682|11.213
133685|8.112
133686|7.802
133689|9.277
133690|12.079
133693|9.683
133695|1966.257
133696|10.482
133697|17.691
133698|10.019
133699|8.922
133700|12.836
133702|8.399
133703|13.037
133704|12.46
133706|10.078
133707|16.342
133708|20.924
133709|21.657
133710|11.673
133711|16.589
133712|11.333
133713|14.993
133714|15.705
133715|10.579
133716|15.354
133718|11.785
133719|15.457
133720|10.896
133721|12.978
133723|10.291
133724|40.844
133725|15.604
133726|39.289
133727|9.324
133728|11.191
133732|11.0
133733|16.933
133735|17.092
133736|184.447
133738|10.612
133739|17.18
133740|97.964
133743|10.142
133744|17.158
133748|11.22
133749|16.467
133750|25.751
133751|13.033
133752|13.673
133754|12.917
133755|15.433
133756|11.954
133757|19.01
133758|19.566
133759|17.805
133760|15.165
133761|375.704
133763|14.602
133764|14.74
133765|26.923
133768|16.081
133769|30.245
133770|16.771
133771|16.345
133774|18.799
133777|17.109
133778|24.162
133779|23.156
133780|11.374
133781|13.985
133782|13.213
133783|14.769
133784|11.253
133785|11.731
133786|10.839
133787|16.042
133789|15.036
133790|10.277
133791|14.04
133792|16.33
133793|12.089
133794|10.248
133796|11.251
133798|11.366
133799|36.611
133802|12.866
133804|18.813
133805|12.248
133806|19.518
133807|15.303
133808|13.8
133809|12.463
133810|30.522
133811|31.166
133812|16.067
133813|33.804
134001|171.139
134002|16.837
134003|15.73
134004|10.435
134005|9.662
134007|66.431
134009|10.765
134010|8.161
134011|12.886
134014|14.18
134015|80.525
134017|14.703
134020|24.236
134021|13.854
134022|15.966
134024|17.746
134026|15.364
134029|14.368
134031|9.428
134034|14.294
134035|12.845
134036|10.539
134037|13.98
134039|63.847
134040|45.771
134041|18.518
134042|18.157
134043|13.393
134044|17.356
134045|11.794
134047|15.651
134048|17.509
134049|2103.352
134050|25.412
134053|12.346
134054|18.732
134055|27.613
134057|13.27
134058|10.636
134059|16.356
134060|11.687
134061|56.745
134062|20.187
134063|38.051
134064|10.776
134065|16.962
134067|16.564
134068|12.731
134069|15.811
134071|16.419
134072|14.55
134073|64.327
134074|24.45
134075|12.563
134076|14.001
134120|10.344
134121|11.53
134122|12.336
134123|132.41
134124|25.685
134125|11.734
134126|16.69
134127|9.479
134128|166.645
134131|32.07
134132|12.403
134133|307.989
134134|11.551
