KSSS,MAPE_ML,ML_model,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
2717,7.558,SARIMAX,828.8,22.173,МЛ,SARIMAX
2726,7.279,SARIMAX,10.74,448.315,МЛ,SARIMAX
2729,7.69,SARIMAX,9.2,18.026,МЛ,SARIMAX
2735,5.794,SARIMAX,648.02,16.522,МЛ,SARIMAX
2736,7.898,SARIMAX,10.85,8.798,МЛ,SARIMAX
2738,7.42,SARIMAX,7.42,10.853,МЛ,SARIMAX
2741,8.75,SARIMAX,11.27,11.958,МЛ,SARIMAX
2749,7.712,SARIMAX,12.6,10.737,МЛ,SARIMAX
2750,9.896,SARIMAX,14.92,13.021,МЛ,SARIMAX
2789,6.861,SARIMAX,8.9,9.214,МЛ,SARIMAX
2827,6.536,SARIMAX,9.55,9.167,МЛ,SARIMAX
2828,7.019,SARIMAX,17.44,10.377,МЛ,SARIMAX
2873,4.723,TTM,10.96,11.951,МЛ,TTM
2874,6.21,SARIMAX,15.06,19.068,МЛ,SARIMAX
2875,10.853,SARIMAX,13.63,14.43,МЛ,SARIMAX
2876,5.827,SARIMAX,7.59,8.24,МЛ,SARIMAX
2877,4.896,RandomForest,8.75,9.393,МЛ,RandomForest
2880,6.252,SARIMAX,15.29,12.559,МЛ,SARIMAX
2882,4.99,TTM,16.44,12.726,МЛ,TTM
2883,6.046,TTM,13.94,14.748,МЛ,TTM
2886,5.093,SARIMAX,7.51,9.923,МЛ,SARIMAX
2887,4.444,SARIMAX,10.43,10.521,МЛ,SARIMAX
2888,6.125,SARIMAX,14.07,9.885,МЛ,SARIMAX
2889,6.735,SARIMAX,16.92,21.765,МЛ,SARIMAX
2890,5.206,SARIMAX,9.74,7.793,МЛ,SARIMAX
2891,8.242,TTM,15.18,12.34,МЛ,TTM
2892,6.481,SARIMAX,16.54,14.21,МЛ,SARIMAX
2893,18.299,SARIMAX,32.73,122.688,МЛ,SARIMAX
2894,6.023,SARIMAX,9.83,11.554,МЛ,SARIMAX
2896,5.851,SARIMAX,9.11,9.43,МЛ,SARIMAX
2899,15.607,SARIMAX,31.39,36.575,МЛ,SARIMAX
2900,5.716,RandomForest,13.05,13.886,МЛ,RandomForest
2901,10.185,SARIMAX,22.87,26.631,МЛ,SARIMAX
2902,8.562,SARIMAX,13.64,13.243,МЛ,SARIMAX
2903,6.082,SARIMAX,9.03,10.041,МЛ,SARIMAX
2904,7.568,SARIMAX,18.46,24.141,МЛ,SARIMAX
2905,17.46,SARIMAX,28.27,24.928,МЛ,SARIMAX
2906,11.997,SARIMAX,19.16,15.593,МЛ,SARIMAX
2907,6.717,SARIMAX,15.84,11.737,МЛ,SARIMAX
2908,7.859,SARIMAX,13.72,11.421,МЛ,SARIMAX
2909,9.098,SARIMAX,15.3,14.18,МЛ,SARIMAX
2910,6.05,SARIMAX,12.54,12.19,МЛ,SARIMAX
2911,5.474,SARIMAX,9.03,9.828,МЛ,SARIMAX
2912,5.073,SARIMAX,10.27,9.043,МЛ,SARIMAX
2930,8.653,SARIMAX,21.11,12.486,МЛ,SARIMAX
2982,14.144,SARIMAX,25.87,15.133,МЛ,SARIMAX
2987,9.406,SARIMAX,17.95,13.375,МЛ,SARIMAX
2988,5.005,RandomForest,15.8,19.958,МЛ,RandomForest
2993,4.173,HoltWinters,12.88,12.305,МЛ,HoltWinters
2994,5.22,HoltWinters,712.1,11.144,МЛ,HoltWinters
2995,11.273,SARIMAX,26.25,19.597,МЛ,SARIMAX
2996,6.643,SARIMAX,14.97,13.165,МЛ,SARIMAX
2997,7.513,SARIMAX,12.47,10.984,МЛ,SARIMAX
2998,6.872,SARIMAX,7.28,10.317,МЛ,SARIMAX
2999,5.814,SARIMAX,18.97,21.464,МЛ,SARIMAX
3000,7.12,SARIMAX,15.09,11.433,МЛ,SARIMAX
3002,7.275,SARIMAX,25.33,12.584,МЛ,SARIMAX
3004,6.45,SARIMAX,14.97,16.459,МЛ,SARIMAX
3006,6.813,SARIMAX,24.35,14.925,МЛ,SARIMAX
3007,4.619,SARIMAX,514.38,34.581,МЛ,SARIMAX
3008,5.172,SARIMAX,11.41,8.993,МЛ,SARIMAX
3009,5.414,SARIMAX,21.91,12.509,МЛ,SARIMAX
3011,7.242,SARIMAX,16.39,22.432,МЛ,SARIMAX
3023,6.921,SARIMAX,28.02,23.41,МЛ,SARIMAX
3024,9.286,SARIMAX,14.1,11.411,МЛ,SARIMAX
3048,7.852,SARIMAX,178.25,16.041,МЛ,SARIMAX
3049,7.162,SARIMAX,10.72,10.661,МЛ,SARIMAX
3050,8.691,SARIMAX,22.36,15.191,МЛ,SARIMAX
3052,10.025,SARIMAX,20.73,16.589,МЛ,SARIMAX
3054,7.899,SARIMAX,14.0,13.006,МЛ,SARIMAX
3056,7.04,HoltWinters,44.87,19.341,МЛ,HoltWinters
3057,10.205,SARIMAX,17.27,12.058,МЛ,SARIMAX
3059,5.248,SARIMAX,24.82,19.188,МЛ,SARIMAX
3060,6.714,SARIMAX,26.14,18.848,МЛ,SARIMAX
3062,6.047,SARIMAX,10.09,10.758,МЛ,SARIMAX
3063,5.174,SARIMAX,8.89,9.044,МЛ,SARIMAX
3064,8.223,SARIMAX,14.27,11.11,МЛ,SARIMAX
3066,8.364,SARIMAX,20.7,19.358,МЛ,SARIMAX
3124,10.221,RandomForest,24.87,20.042,МЛ,RandomForest
3125,6.72,SARIMAX,101.71,33.63,МЛ,SARIMAX
3126,5.781,SARIMAX,11.32,9.916,МЛ,SARIMAX
3127,4.876,RandomForest,10.36,9.165,МЛ,RandomForest
3129,7.572,SARIMAX,15.73,15.287,МЛ,SARIMAX
3132,5.987,HoltWinters,10.27,10.745,МЛ,HoltWinters
3133,7.295,SARIMAX,19.17,19.835,МЛ,SARIMAX
3135,6.198,SARIMAX,8.22,9.942,МЛ,SARIMAX
3136,5.083,SARIMAX,13.98,26.918,МЛ,SARIMAX
3137,9.003,SARIMAX,13.45,18.238,МЛ,SARIMAX
3138,3.966,RandomForest,8.54,9.905,МЛ,RandomForest
3139,6.495,SARIMAX,12.46,13.888,МЛ,SARIMAX
3140,12.598,SARIMAX,21.02,20.053,МЛ,SARIMAX
3141,6.464,SARIMAX,52.95,16.192,МЛ,SARIMAX
3142,14.785,SARIMAX,21.7,24.336,МЛ,SARIMAX
3143,4.996,SARIMAX,10.55,11.847,МЛ,SARIMAX
3144,5.729,SARIMAX,10.98,9.541,МЛ,SARIMAX
3145,6.851,SARIMAX,117.26,17.618,МЛ,SARIMAX
3146,6.921,SARIMAX,13.67,10.772,МЛ,SARIMAX
3148,7.91,SARIMAX,10.72,14.331,МЛ,SARIMAX
3150,6.651,SARIMAX,18.47,16.569,МЛ,SARIMAX
3152,9.448,SARIMAX,11.54,14.544,МЛ,SARIMAX
3154,8.473,SARIMAX,13.13,14.507,МЛ,SARIMAX
3155,6.403,SARIMAX,11.17,10.16,МЛ,SARIMAX
3156,7.604,RandomForest,13.8,14.852,МЛ,RandomForest
3158,8.744,SARIMAX,11.1,11.092,МЛ,SARIMAX
3159,7.677,SARIMAX,20.1,14.257,МЛ,SARIMAX
3161,33.173,SARIMAX,10885.03,374.709,МЛ,SARIMAX
3163,5.011,SARIMAX,8.82,8.381,МЛ,SARIMAX
3165,6.277,SARIMAX,11.73,11.448,МЛ,SARIMAX
3168,7.145,HoltWinters,12.33,21.948,МЛ,HoltWinters
3171,5.92,TTM,9.92,11.085,МЛ,TTM
3172,4.922,HoltWinters,114.4,16.658,МЛ,HoltWinters
3173,7.001,SARIMAX,16.08,11.989,МЛ,SARIMAX
3174,5.896,HoltWinters,12.87,28.786,МЛ,HoltWinters
3175,5.056,SARIMAX,9.8,,МЛ,SARIMAX
3176,6.87,SARIMAX,10.5,10.126,МЛ,SARIMAX
3177,7.276,SARIMAX,19.34,11.479,МЛ,SARIMAX
3179,7.39,SARIMAX,12.26,11.591,МЛ,SARIMAX
3189,5.611,SARIMAX,290.2,22.369,МЛ,SARIMAX
3205,9.743,RandomForest,14.52,11.066,МЛ,RandomForest
3206,6.253,RandomForest,10.05,8.714,МЛ,RandomForest
3207,12.593,SARIMAX,23.05,13.865,МЛ,SARIMAX
3208,7.714,SARIMAX,13.58,11.881,МЛ,SARIMAX
3209,14.589,SARIMAX,74.08,,МЛ,SARIMAX
3212,6.19,SARIMAX,11.28,12.204,МЛ,SARIMAX
3213,6.612,SARIMAX,10.21,12.688,МЛ,SARIMAX
3215,8.105,SARIMAX,14.7,13.672,МЛ,SARIMAX
3216,7.068,SARIMAX,13.01,15.065,МЛ,SARIMAX
3217,6.699,SARIMAX,21.5,11.436,МЛ,SARIMAX
3218,65.732,SARIMAX,24.02,31.513,веса,"(0.00, 0.10, 0.90)"
3220,7.777,SARIMAX,14.65,14.82,МЛ,SARIMAX
3221,6.264,TTM,9.53,10.938,МЛ,TTM
3222,6.86,SARIMAX,11.04,11.849,МЛ,SARIMAX
3230,6.293,SARIMAX,13.59,11.856,МЛ,SARIMAX
3247,7.763,SARIMAX,16.68,18.051,МЛ,SARIMAX
3256,7.234,SARIMAX,13.61,11.457,МЛ,SARIMAX
3275,7.306,SARIMAX,18.52,28.567,МЛ,SARIMAX
3276,7.86,RandomForest,16.57,16.024,МЛ,RandomForest
3309,16.768,SARIMAX,27.77,22.692,МЛ,SARIMAX
3311,5.918,SARIMAX,12.07,43.522,МЛ,SARIMAX
3312,11.534,SARIMAX,12.8,12.34,МЛ,SARIMAX
3313,7.516,SARIMAX,11.42,13.396,МЛ,SARIMAX
3314,5.565,SARIMAX,10.24,11.35,МЛ,SARIMAX
3315,5.047,SARIMAX,8.35,9.26,МЛ,SARIMAX
3316,5.881,SARIMAX,7.88,9.435,МЛ,SARIMAX
3317,45.835,RandomForest,13.72,11.846,старая,старая
3318,6.726,SARIMAX,10.42,10.749,МЛ,SARIMAX
3319,5.825,HoltWinters,6.53,11.969,МЛ,HoltWinters
3320,9.87,NBEATS,12.93,13.455,МЛ,NBEATS
3321,35.095,SARIMAX,20.75,23.212,веса,"(0.19, 0.30, 0.51)"
3322,8.184,SARIMAX,17.5,18.768,МЛ,SARIMAX
3323,37.21,SARIMAX,18.64,24.323,веса,"(0.00, 0.18, 0.82)"
3325,5.038,RandomForest,7.18,9.864,МЛ,RandomForest
3326,6.729,SARIMAX,13.99,16.459,МЛ,SARIMAX
3327,4.665,NBEATS,9.02,9.561,МЛ,NBEATS
3328,5.81,SARIMAX,8.91,10.645,МЛ,SARIMAX
3329,5.45,SARIMAX,8.42,11.246,МЛ,SARIMAX
3330,5.034,SARIMAX,10.33,9.438,МЛ,SARIMAX
3331,5.039,SARIMAX,8.1,9.252,МЛ,SARIMAX
3332,4.841,RandomForest,10.5,10.914,МЛ,RandomForest
3336,4.126,TTM,9.08,11.302,МЛ,TTM
3337,9.171,SARIMAX,9.96,13.138,МЛ,SARIMAX
3338,5.469,SARIMAX,6.86,10.867,МЛ,SARIMAX
3339,5.468,SARIMAX,10.19,10.457,МЛ,SARIMAX
3341,5.386,SARIMAX,10.16,10.892,МЛ,SARIMAX
3342,4.453,SARIMAX,9.85,11.649,МЛ,SARIMAX
3343,8.741,SARIMAX,20.08,20.765,МЛ,SARIMAX
3346,6.627,SARIMAX,7.33,8.997,МЛ,SARIMAX
3347,5.244,SARIMAX,7.22,6.463,МЛ,SARIMAX
3348,4.268,SARIMAX,6.23,10.865,МЛ,SARIMAX
3349,6.98,HoltWinters,14.11,17.016,МЛ,HoltWinters
3350,6.935,SARIMAX,10.18,9.394,МЛ,SARIMAX
3351,6.056,RandomForest,8.21,11.203,МЛ,RandomForest
3352,6.625,HoltWinters,8.66,9.988,МЛ,HoltWinters
3354,6.433,SARIMAX,12.77,12.357,МЛ,SARIMAX
3355,10.466,SARIMAX,16.49,16.975,МЛ,SARIMAX
3356,6.668,SARIMAX,9.24,13.578,МЛ,SARIMAX
3357,10.616,SARIMAX,14.65,12.426,МЛ,SARIMAX
3358,6.154,NBEATS,9.56,10.093,МЛ,NBEATS
3359,4.928,SARIMAX,20.18,18.393,МЛ,SARIMAX
3360,14.068,SARIMAX,20.78,14.95,МЛ,SARIMAX
3361,6.598,SARIMAX,11.55,13.255,МЛ,SARIMAX
3363,5.305,SARIMAX,8.8,11.538,МЛ,SARIMAX
3364,5.119,SARIMAX,7.36,10.996,МЛ,SARIMAX
3365,17.286,SARIMAX,12.96,20.071,веса,"(0.00, 0.01, 0.99)"
3366,5.549,SARIMAX,11.34,12.974,МЛ,SARIMAX
3367,7.506,NBEATS,13.34,12.063,МЛ,NBEATS
3368,5.461,SARIMAX,8.02,9.687,МЛ,SARIMAX
3369,8.884,SARIMAX,149.46,24.79,МЛ,SARIMAX
3370,6.657,SARIMAX,8.06,9.449,МЛ,SARIMAX
3372,5.792,RandomForest,12.57,12.366,МЛ,RandomForest
3373,6.511,SARIMAX,10.1,12.75,МЛ,SARIMAX
3374,8.411,RandomForest,19.18,16.517,МЛ,RandomForest
3375,10.813,SARIMAX,25.07,24.725,МЛ,SARIMAX
3377,6.377,TTM,9.87,8.947,МЛ,TTM
3379,9.257,SARIMAX,15.16,15.614,МЛ,SARIMAX
3381,14.772,SARIMAX,18.23,32.416,МЛ,SARIMAX
