АЗС,Лучшая модель,MAPE
133495,HoltWinters,27.086
155114,RandomForest,27.096
37401,HoltWinters,27.335
155078,HoltWinters,27.353
155128,RandomForest,27.37
153810,SARIMAX,27.621
2893,SARIMAX,28.502
9304,RandomForest,29.313
3360,RandomForest,29.884
161201,SARIMAX,30.336
3740,RandomForest,31.301
133518,HoltWinters,33.005
155116,SARIMAX,33.267
134014,HoltWinters,33.275
3207,RandomForest,34.221
5059,RandomForest,34.608
3804,SARIMAX,34.84
1265,HoltWinters,35.051
151801,SARIMAX,37.498
7064,RandomForest,37.885
155119,SARIMAX,38.139
155086,RandomForest,38.659
155089,RandomForest,43.472
62201,HoltWinters,43.884
3161,SARIMAX,44.128
3365,RandomForest,48.553
6394,RandomForest,50.755
3741,RandomForest,53.399
134123,RandomForest,57.759
7067,HoltWinters,57.883
136878,HoltWinters,63.956
134171,HoltWinters,64.885
134049,RandomForest,64.902
125621,RandomForest,67.718
160050,RandomForest,69.255
134200,HoltWinters,74.386
2546,RandomForest,74.81
133493,HoltWinters,76.542
155132,RandomForest,79.453
6458,RandomForest,84.105
1120,HoltWinters,87.233
134140,RandomForest,92.171
3941,HoltWinters,96.048
135046,HoltWinters,101.974
1271,RandomForest,103.573
1867,RandomForest,109.435
2195,SARIMAX,142.092
133740,HoltWinters,149.218
135019,HoltWinters,208.259
160025,RandomForest,211.846
135006,RandomForest,291.138
3511,RandomForest,300.869
135004,SARIMAX,338.518
133271,RandomForest,494.163
1856,RandomForest,639.629
3803,SARIMAX,743.142
133371,SARIMAX,942.169
3821,SARIMAX,948.655
3824,RandomForest,2025.546
9241,RandomForest,2238.045
125627,RandomForest,2853.915
9244,SARIMAX,6631.35
125622,SARIMAX,23097.686
