АЗС,Лучшая модель,MAPE,error
39207,HoltWinters,14.796,
125635,HoltWinters,14.967,
133359,HoltWinters,14.994,
133411,HoltWinters,15.046,
45204,HoltWinters,15.076,
134181,HoltWinters,15.163,
125636,HoltWinters,15.171,
134042,HoltWinters,15.2,
5020,HoltWinters,15.368,
133775,HoltWinters,15.414,
133746,HoltWinters,15.576,
155029,HoltWinters,15.806,
160026,HoltWinters,15.994,
136815,HoltWinters,16.04,
160017,HoltWinters,16.052,
2287,HoltWinters,16.077,
133748,HoltWinters,16.207,
133628,HoltWinters,16.257,
160043,HoltWinters,16.513,
5010,HoltWinters,16.68,
125644,HoltWinters,17.198,
133524,HoltWinters,17.321,
9466,HoltWinters,17.481,
62405,HoltWinters,17.509,
2248,HoltWinters,17.525,
3983,HoltWinters,17.799,
133495,HoltWinters,17.806,
133237,HoltWinters,17.962,
2893,HoltWinters,17.966,
133810,HoltWinters,18.01,
134066,HoltWinters,18.051,
1113,HoltWinters,18.084,
134188,HoltWinters,18.229,
136917,HoltWinters,18.309,
1831,HoltWinters,18.336,
125642,HoltWinters,18.339,
3379,HoltWinters,18.424,
3150,HoltWinters,18.454,
2243,HoltWinters,18.57,
136909,HoltWinters,18.579,
155090,HoltWinters,18.606,
1867,HoltWinters,18.629,
135028,HoltWinters,18.963,
3321,HoltWinters,19.196,
155130,HoltWinters,19.203,
135046,HoltWinters,19.233,
133207,HoltWinters,19.301,
133312,HoltWinters,19.324,
6434,HoltWinters,19.35,
134030,HoltWinters,19.641,
155004,HoltWinters,19.675,
134135,HoltWinters,19.754,
9521,HoltWinters,19.925,
163003,HoltWinters,19.989,
135056,HoltWinters,20.063,
2246,HoltWinters,20.311,
135032,HoltWinters,20.327,
3962,HoltWinters,20.478,
133538,HoltWinters,20.647,
133770,HoltWinters,20.673,
133385,HoltWinters,20.863,
8738,HoltWinters,20.875,
160052,HoltWinters,20.913,
162601,HoltWinters,21.08,
170030,HoltWinters,21.307,
6439,HoltWinters,21.954,
2664,HoltWinters,21.974,
133253,HoltWinters,22.591,
133706,HoltWinters,22.734,
64406,HoltWinters,22.896,
134054,HoltWinters,23.187,
3865,HoltWinters,23.252,
2905,HoltWinters,23.292,
133488,HoltWinters,23.391,
163625,HoltWinters,23.394,
133518,HoltWinters,23.412,
160073,HoltWinters,23.485,
2304,HoltWinters,23.723,
62201,HoltWinters,23.994,
135035,HoltWinters,24.629,
1994,HoltWinters,25.06,
133722,HoltWinters,25.347,
133774,HoltWinters,25.436,
125648,HoltWinters,26.357,
134039,HoltWinters,26.466,
134189,HoltWinters,27.061,
5013,HoltWinters,27.811,
155086,HoltWinters,28.913,
3843,HoltWinters,28.941,
133715,HoltWinters,29.039,
5223,HoltWinters,29.74,
3448,HoltWinters,29.971,
5025,HoltWinters,30.268,
3323,HoltWinters,31.799,
8958,HoltWinters,31.8,
2136,HoltWinters,32.279,
125645,HoltWinters,34.333,
133704,HoltWinters,34.73,
133761,HoltWinters,34.739,
163210,HoltWinters,35.705,
5071,HoltWinters,35.724,
133469,HoltWinters,36.289,
135042,HoltWinters,36.352,
134158,HoltWinters,37.422,
160060,HoltWinters,37.989,
9341,HoltWinters,39.713,
133482,HoltWinters,39.813,
1120,HoltWinters,39.884,
136814,HoltWinters,40.062,
160024,HoltWinters,43.695,
5012,HoltWinters,44.379,
125646,HoltWinters,45.136,
125653,HoltWinters,45.36,
133680,HoltWinters,45.674,
1833,HoltWinters,48.17,
155080,HoltWinters,51.613,
118601,HoltWinters,57.993,
133755,HoltWinters,68.664,
134152,HoltWinters,69.973,
4216,HoltWinters,71.155,
133750,HoltWinters,71.798,
3153,HoltWinters,71.886,
155094,HoltWinters,73.218,
165210,HoltWinters,73.868,
